"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 21:24:06 GMT 2022","Sun Jun 26 21:24:08 GMT 2022","2034","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","getOneSimulation","Should validate the simulation schema for GET method",""
"passed","Sun Jun 26 21:24:26 GMT 2022","Sun Jun 26 21:24:27 GMT 2022","857","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfIncomplete","Must get a CPF incomplete",""
"skipped","Sun Jun 26 21:24:13 GMT 2022","Sun Jun 26 21:24:13 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinValue","Must try create a new simulation with invalid min value.",""
"passed","Sun Jun 26 21:24:00 GMT 2022","Sun Jun 26 21:24:05 GMT 2022","4254","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationNotFound","Should validate the simulation schema for non-existing simulation",""
"passed","Sun Jun 26 21:24:12 GMT 2022","Sun Jun 26 21:24:13 GMT 2022","906","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidEmail","Must try create a new simulation with invalid email.",""
"passed","Sun Jun 26 21:24:08 GMT 2022","Sun Jun 26 21:24:09 GMT 2022","949","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByNameNotFound","Must filter by name a non-existing simulation",""
"broken","Sun Jun 26 17:14:31 GMT 2022","Sun Jun 26 17:14:31 GMT 2022","3","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","","RestrictionsContractTest",""
"passed","Sun Jun 26 21:24:21 GMT 2022","Sun Jun 26 21:24:23 GMT 2022","2212","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnAllExistingSimulations","Must validate all existing simulations",""
"passed","Sun Jun 26 21:24:16 GMT 2022","Sun Jun 26 21:24:17 GMT 2022","906","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationSuccessfully","Must create a new simulation.",""
"skipped","Sun Jun 26 21:24:10 GMT 2022","Sun Jun 26 21:24:10 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithDuplicatedCpf","Must validate an CPF duplication",""
"passed","Sun Jun 26 21:24:20 GMT 2022","Sun Jun 26 21:24:21 GMT 2022","879","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxValue","Must try create a new simulation with invalid max value.",""
"skipped","Sun Jun 26 21:24:08 GMT 2022","Sun Jun 26 21:24:08 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxInstallments","Must try create a new simulation with invalid max number of installments.",""
"passed","Sun Jun 26 21:24:05 GMT 2022","Sun Jun 26 21:24:06 GMT 2022","1609","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationWithMissingInformation","Should validate the simulation schema for missing information",""
"passed","Sun Jun 26 21:24:17 GMT 2022","Sun Jun 26 21:24:18 GMT 2022","896","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinInstallments","Must try create a new simulation with invalid min number of installments.",""
"passed","Sun Jun 26 21:24:18 GMT 2022","Sun Jun 26 21:24:20 GMT 2022","2595","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationSuccessfully","Must delete an existing simulation and validate exclusion",""
"passed","Sun Jun 26 21:24:23 GMT 2022","Sun Jun 26 21:24:25 GMT 2022","1829","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationInvalidData","Must update an existing simulation with all invalid data",""
"skipped","Sun Jun 26 21:24:23 GMT 2022","Sun Jun 26 21:24:23 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidName","Must try create a new simulation with invalid name.",""
"skipped","Sun Jun 26 21:24:10 GMT 2022","Sun Jun 26 21:24:10 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByName","Must find a simulation filtered by name",""
"passed","Sun Jun 26 21:24:09 GMT 2022","Sun Jun 26 21:24:10 GMT 2022","941","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationCpfNotFound","Must validate the return of an update for a non-existent CPF",""
"broken","Sun Jun 26 17:14:31 GMT 2022","Sun Jun 26 17:14:31 GMT 2022","0","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","","RestrictionsFunctionalTest",""
"passed","Sun Jun 26 21:24:25 GMT 2022","Sun Jun 26 21:24:26 GMT 2022","913","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithRestriction","Must get a CPF with restriction",""
"broken","Sun Jun 26 17:19:55 GMT 2022","Sun Jun 26 17:19:55 GMT 2022","2","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","","SimulationsContractTest",""
"passed","Sun Jun 26 21:24:13 GMT 2022","Sun Jun 26 21:24:16 GMT 2022","2726","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnOneExistingSimulation","Must validate one existing simulation",""
"broken","Sun Jun 26 17:14:32 GMT 2022","Sun Jun 26 17:14:32 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","","SimulationsFunctionalTest",""
"passed","Sun Jun 26 21:24:28 GMT 2022","Sun Jun 26 21:24:29 GMT 2022","945","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","contractOnValidCPF","Must validate the restrictions schema for GET method with a valid cpf",""
"skipped","Sun Jun 26 21:24:18 GMT 2022","Sun Jun 26 21:24:18 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationThatNotExists","Must validate the return when a non-existent simulation is sent",""
"passed","Sun Jun 26 21:24:10 GMT 2022","Sun Jun 26 21:24:12 GMT 2022","1845","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationSuccessfully","Must update an existing simulation",""
"passed","Sun Jun 26 21:24:27 GMT 2022","Sun Jun 26 21:24:28 GMT 2022","834","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithNoRestriction","Must get a CPF without restriction",""
