"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 01:11:52 GMT 2022","Tue Jun 28 01:11:54 GMT 2022","1726","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationInvalidData","Must update an existing simulation with all invalid data",""
"passed","Tue Jun 28 01:11:56 GMT 2022","Tue Jun 28 01:11:57 GMT 2022","878","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithNoRestriction","Must get a CPF without restriction",""
"passed","Tue Jun 28 01:11:57 GMT 2022","Tue Jun 28 01:11:57 GMT 2022","858","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","contractOnValidCPF","Must validate the restrictions schema for GET method with a valid cpf",""
"passed","Tue Jun 28 01:11:39 GMT 2022","Tue Jun 28 01:11:40 GMT 2022","913","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidEmail","Must try create a new simulation with invalid email.",""
"passed","Tue Jun 28 01:11:43 GMT 2022","Tue Jun 28 01:11:45 GMT 2022","1038","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationSuccessfully","Must create a new simulation.",""
"passed","Tue Jun 28 01:11:49 GMT 2022","Tue Jun 28 01:11:52 GMT 2022","2549","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnAllExistingSimulations","Must validate all existing simulations",""
"passed","Tue Jun 28 01:11:40 GMT 2022","Tue Jun 28 01:11:43 GMT 2022","3537","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnOneExistingSimulation","Must validate one existing simulation",""
"passed","Tue Jun 28 01:11:45 GMT 2022","Tue Jun 28 01:11:49 GMT 2022","3031","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationSuccessfully","Must delete an existing simulation and validate exclusion",""
"passed","Tue Jun 28 01:11:45 GMT 2022","Tue Jun 28 01:11:45 GMT 2022","991","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinInstallments","Must try create a new simulation with invalid min number of installments.",""
"passed","Tue Jun 28 01:11:49 GMT 2022","Tue Jun 28 01:11:49 GMT 2022","956","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxValue","Must try create a new simulation with invalid max value.",""
"passed","Tue Jun 28 01:11:37 GMT 2022","Tue Jun 28 01:11:39 GMT 2022","1799","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationSuccessfully","Must update an existing simulation",""
"passed","Tue Jun 28 01:11:55 GMT 2022","Tue Jun 28 01:11:56 GMT 2022","851","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfIncomplete","Must get a CPF incomplete",""
"passed","Tue Jun 28 01:11:54 GMT 2022","Tue Jun 28 01:11:55 GMT 2022","895","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithRestriction","Must get a CPF with restriction",""
"passed","Tue Jun 28 01:11:32 GMT 2022","Tue Jun 28 01:11:33 GMT 2022","1633","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationWithMissingInformation","Should validate the simulation schema for missing information",""
"passed","Tue Jun 28 01:11:27 GMT 2022","Tue Jun 28 01:11:31 GMT 2022","4827","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationNotFound","Should validate the simulation schema for non-existing simulation",""
"passed","Tue Jun 28 01:11:33 GMT 2022","Tue Jun 28 01:11:35 GMT 2022","2047","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","getOneSimulation","Should validate the simulation schema for GET method",""
"passed","Tue Jun 28 01:11:35 GMT 2022","Tue Jun 28 01:11:36 GMT 2022","914","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByNameNotFound","Must filter by name a non-existing simulation",""
"passed","Tue Jun 28 01:11:36 GMT 2022","Tue Jun 28 01:11:37 GMT 2022","994","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationCpfNotFound","Must validate the return of an update for a non-existent CPF",""
