"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 23:19:41 GMT 2022","Wed Jun 29 23:19:42 GMT 2022","922","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","contractOnValidCPF","Must validate the restrictions schema for GET method with a valid cpf",""
"passed","Wed Jun 29 23:19:39 GMT 2022","Wed Jun 29 23:19:40 GMT 2022","955","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfIncomplete","Must get a CPF incomplete",""
"passed","Wed Jun 29 23:19:25 GMT 2022","Wed Jun 29 23:19:28 GMT 2022","3032","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnOneExistingSimulation","Must validate one existing simulation",""
"passed","Wed Jun 29 23:19:10 GMT 2022","Wed Jun 29 23:19:15 GMT 2022","5418","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationNotFound","Should validate the simulation schema for non-existing simulation",""
"passed","Wed Jun 29 23:19:38 GMT 2022","Wed Jun 29 23:19:39 GMT 2022","975","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithRestriction","Must get a CPF with restriction",""
"passed","Wed Jun 29 23:19:20 GMT 2022","Wed Jun 29 23:19:21 GMT 2022","990","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByNameNotFound","Must filter by name a non-existing simulation",""
"passed","Wed Jun 29 23:19:22 GMT 2022","Wed Jun 29 23:19:24 GMT 2022","2028","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationSuccessfully","Must update an existing simulation",""
"passed","Wed Jun 29 23:19:15 GMT 2022","Wed Jun 29 23:19:18 GMT 2022","2399","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationWithMissingInformation","Should validate the simulation schema for missing information",""
"passed","Wed Jun 29 23:19:21 GMT 2022","Wed Jun 29 23:19:22 GMT 2022","984","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationCpfNotFound","Must validate the return of an update for a non-existent CPF",""
"passed","Wed Jun 29 23:19:29 GMT 2022","Wed Jun 29 23:19:30 GMT 2022","957","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinInstallments","Must try create a new simulation with invalid min number of installments.",""
"passed","Wed Jun 29 23:19:36 GMT 2022","Wed Jun 29 23:19:38 GMT 2022","1949","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationInvalidData","Must update an existing simulation with all invalid data",""
"passed","Wed Jun 29 23:19:40 GMT 2022","Wed Jun 29 23:19:41 GMT 2022","905","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithNoRestriction","Must get a CPF without restriction",""
"passed","Wed Jun 29 23:19:18 GMT 2022","Wed Jun 29 23:19:20 GMT 2022","2267","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","getOneSimulation","Should validate the simulation schema for GET method",""
"passed","Wed Jun 29 23:19:33 GMT 2022","Wed Jun 29 23:19:34 GMT 2022","564","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxValue","Must try create a new simulation with invalid max value.",""
"passed","Wed Jun 29 23:19:34 GMT 2022","Wed Jun 29 23:19:36 GMT 2022","2382","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnAllExistingSimulations","Must validate all existing simulations",""
"passed","Wed Jun 29 23:19:28 GMT 2022","Wed Jun 29 23:19:29 GMT 2022","1009","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationSuccessfully","Must create a new simulation.",""
"passed","Wed Jun 29 23:19:24 GMT 2022","Wed Jun 29 23:19:25 GMT 2022","1009","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidEmail","Must try create a new simulation with invalid email.",""
"passed","Wed Jun 29 23:19:30 GMT 2022","Wed Jun 29 23:19:33 GMT 2022","3064","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationSuccessfully","Must delete an existing simulation and validate exclusion",""
