"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 11:58:21 GMT 2022","Mon Jun 27 11:58:22 GMT 2022","1002","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationCpfNotFound","Must validate the return of an update for a non-existent CPF",""
"passed","Mon Jun 27 11:58:25 GMT 2022","Mon Jun 27 11:58:28 GMT 2022","3072","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnOneExistingSimulation","Must validate one existing simulation",""
"passed","Mon Jun 27 11:58:40 GMT 2022","Mon Jun 27 11:58:41 GMT 2022","948","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfIncomplete","Must get a CPF incomplete",""
"skipped","Mon Jun 27 11:58:25 GMT 2022","Mon Jun 27 11:58:25 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinValue","Must try create a new simulation with invalid min value.",""
"passed","Mon Jun 27 11:58:18 GMT 2022","Mon Jun 27 11:58:20 GMT 2022","2340","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","getOneSimulation","Should validate the simulation schema for GET method",""
"skipped","Mon Jun 27 11:58:22 GMT 2022","Mon Jun 27 11:58:22 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithDuplicatedCpf","Must validate an CPF duplication",""
"passed","Mon Jun 27 11:58:20 GMT 2022","Mon Jun 27 11:58:21 GMT 2022","1064","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByNameNotFound","Must filter by name a non-existing simulation",""
"skipped","Mon Jun 27 11:58:20 GMT 2022","Mon Jun 27 11:58:20 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxInstallments","Must try create a new simulation with invalid max number of installments.",""
"passed","Mon Jun 27 11:58:39 GMT 2022","Mon Jun 27 11:58:40 GMT 2022","1038","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithRestriction","Must get a CPF with restriction",""
"passed","Mon Jun 27 11:58:29 GMT 2022","Mon Jun 27 11:58:30 GMT 2022","1033","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinInstallments","Must try create a new simulation with invalid min number of installments.",""
"skipped","Mon Jun 27 11:58:37 GMT 2022","Mon Jun 27 11:58:37 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidName","Must try create a new simulation with invalid name.",""
"passed","Mon Jun 27 11:58:30 GMT 2022","Mon Jun 27 11:58:33 GMT 2022","3032","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationSuccessfully","Must delete an existing simulation and validate exclusion",""
"passed","Mon Jun 27 11:58:22 GMT 2022","Mon Jun 27 11:58:24 GMT 2022","2118","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationSuccessfully","Must update an existing simulation",""
"skipped","Mon Jun 27 11:58:22 GMT 2022","Mon Jun 27 11:58:22 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByName","Must find a simulation filtered by name",""
"skipped","Mon Jun 27 11:58:30 GMT 2022","Mon Jun 27 11:58:30 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationThatNotExists","Must validate the return when a non-existent simulation is sent",""
"passed","Mon Jun 27 11:58:10 GMT 2022","Mon Jun 27 11:58:14 GMT 2022","4819","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationNotFound","Should validate the simulation schema for non-existing simulation",""
"passed","Mon Jun 27 11:58:33 GMT 2022","Mon Jun 27 11:58:34 GMT 2022","1017","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxValue","Must try create a new simulation with invalid max value.",""
"passed","Mon Jun 27 11:58:24 GMT 2022","Mon Jun 27 11:58:25 GMT 2022","1065","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidEmail","Must try create a new simulation with invalid email.",""
"passed","Mon Jun 27 11:58:34 GMT 2022","Mon Jun 27 11:58:37 GMT 2022","2477","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnAllExistingSimulations","Must validate all existing simulations",""
"passed","Mon Jun 27 11:58:28 GMT 2022","Mon Jun 27 11:58:29 GMT 2022","1051","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationSuccessfully","Must create a new simulation.",""
"passed","Mon Jun 27 11:58:15 GMT 2022","Mon Jun 27 11:58:18 GMT 2022","3022","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationWithMissingInformation","Should validate the simulation schema for missing information",""
"passed","Mon Jun 27 11:58:37 GMT 2022","Mon Jun 27 11:58:39 GMT 2022","1996","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationInvalidData","Must update an existing simulation with all invalid data",""
"passed","Mon Jun 27 11:58:41 GMT 2022","Mon Jun 27 11:58:42 GMT 2022","941","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithNoRestriction","Must get a CPF without restriction",""
"passed","Mon Jun 27 11:58:42 GMT 2022","Mon Jun 27 11:58:43 GMT 2022","1154","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","contractOnValidCPF","Must validate the restrictions schema for GET method with a valid cpf",""
