"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 01:45:25 GMT 2022","Tue Jun 28 01:45:26 GMT 2022","1279","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","contractOnValidCPF","Must validate the restrictions schema for GET method with a valid cpf",""
"passed","Tue Jun 28 01:45:21 GMT 2022","Tue Jun 28 01:45:22 GMT 2022","1717","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithRestriction","Must get a CPF with restriction",""
"passed","Tue Jun 28 01:45:24 GMT 2022","Tue Jun 28 01:45:25 GMT 2022","1081","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithNoRestriction","Must get a CPF without restriction",""
"passed","Tue Jun 28 01:45:03 GMT 2022","Tue Jun 28 01:45:04 GMT 2022","981","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidEmail","Must try create a new simulation with invalid email.",""
"passed","Tue Jun 28 01:45:16 GMT 2022","Tue Jun 28 01:45:18 GMT 2022","2533","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnAllExistingSimulations","Must validate all existing simulations",""
"passed","Tue Jun 28 01:45:04 GMT 2022","Tue Jun 28 01:45:07 GMT 2022","3058","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnOneExistingSimulation","Must validate one existing simulation",""
"passed","Tue Jun 28 01:45:00 GMT 2022","Tue Jun 28 01:45:03 GMT 2022","2843","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationSuccessfully","Must update an existing simulation",""
"passed","Tue Jun 28 01:44:48 GMT 2022","Tue Jun 28 01:44:55 GMT 2022","6723","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationWithMissingInformation","Should validate the simulation schema for missing information",""
"passed","Tue Jun 28 01:44:40 GMT 2022","Tue Jun 28 01:44:48 GMT 2022","7826","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationNotFound","Should validate the simulation schema for non-existing simulation",""
"passed","Tue Jun 28 01:44:58 GMT 2022","Tue Jun 28 01:44:59 GMT 2022","984","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByNameNotFound","Must filter by name a non-existing simulation",""
"passed","Tue Jun 28 01:45:18 GMT 2022","Tue Jun 28 01:45:21 GMT 2022","2234","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationInvalidData","Must update an existing simulation with all invalid data",""
"passed","Tue Jun 28 01:45:22 GMT 2022","Tue Jun 28 01:45:24 GMT 2022","1418","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfIncomplete","Must get a CPF incomplete",""
"passed","Tue Jun 28 01:45:09 GMT 2022","Tue Jun 28 01:45:15 GMT 2022","5798","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationSuccessfully","Must delete an existing simulation and validate exclusion",""
"passed","Tue Jun 28 01:45:15 GMT 2022","Tue Jun 28 01:45:16 GMT 2022","1140","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxValue","Must try create a new simulation with invalid max value.",""
"passed","Tue Jun 28 01:45:08 GMT 2022","Tue Jun 28 01:45:09 GMT 2022","1175","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinInstallments","Must try create a new simulation with invalid min number of installments.",""
"passed","Tue Jun 28 01:44:59 GMT 2022","Tue Jun 28 01:45:00 GMT 2022","1073","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationCpfNotFound","Must validate the return of an update for a non-existent CPF",""
"passed","Tue Jun 28 01:45:07 GMT 2022","Tue Jun 28 01:45:08 GMT 2022","1099","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationSuccessfully","Must create a new simulation.",""
"passed","Tue Jun 28 01:44:55 GMT 2022","Tue Jun 28 01:44:58 GMT 2022","2725","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","getOneSimulation","Should validate the simulation schema for GET method",""
