"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 12:52:49 GMT 2022","Mon Jun 27 12:52:52 GMT 2022","2379","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationSuccessfully","Must delete an existing simulation and validate exclusion",""
"passed","Mon Jun 27 12:52:55 GMT 2022","Mon Jun 27 12:52:56 GMT 2022","1567","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationInvalidData","Must update an existing simulation with all invalid data",""
"passed","Mon Jun 27 12:52:37 GMT 2022","Mon Jun 27 12:52:38 GMT 2022","1663","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationWithMissingInformation","Should validate the simulation schema for missing information",""
"passed","Mon Jun 27 12:52:48 GMT 2022","Mon Jun 27 12:52:49 GMT 2022","795","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationSuccessfully","Must create a new simulation.",""
"passed","Mon Jun 27 12:52:38 GMT 2022","Mon Jun 27 12:52:40 GMT 2022","1752","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","getOneSimulation","Should validate the simulation schema for GET method",""
"passed","Mon Jun 27 12:52:59 GMT 2022","Mon Jun 27 12:52:59 GMT 2022","845","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","contractOnValidCPF","Must validate the restrictions schema for GET method with a valid cpf",""
"passed","Mon Jun 27 12:52:40 GMT 2022","Mon Jun 27 12:52:41 GMT 2022","838","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByNameNotFound","Must filter by name a non-existing simulation",""
"passed","Mon Jun 27 12:52:53 GMT 2022","Mon Jun 27 12:52:55 GMT 2022","2018","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnAllExistingSimulations","Must validate all existing simulations",""
"passed","Mon Jun 27 12:52:45 GMT 2022","Mon Jun 27 12:52:48 GMT 2022","3260","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnOneExistingSimulation","Must validate one existing simulation",""
"passed","Mon Jun 27 12:52:52 GMT 2022","Mon Jun 27 12:52:53 GMT 2022","729","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxValue","Must try create a new simulation with invalid max value.",""
"passed","Mon Jun 27 12:52:58 GMT 2022","Mon Jun 27 12:52:59 GMT 2022","755","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithNoRestriction","Must get a CPF without restriction",""
"passed","Mon Jun 27 12:52:57 GMT 2022","Mon Jun 27 12:52:58 GMT 2022","759","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfIncomplete","Must get a CPF incomplete",""
"passed","Mon Jun 27 12:52:49 GMT 2022","Mon Jun 27 12:52:49 GMT 2022","751","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinInstallments","Must try create a new simulation with invalid min number of installments.",""
"passed","Mon Jun 27 12:52:41 GMT 2022","Mon Jun 27 12:52:42 GMT 2022","956","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationCpfNotFound","Must validate the return of an update for a non-existent CPF",""
"passed","Mon Jun 27 12:52:56 GMT 2022","Mon Jun 27 12:52:57 GMT 2022","778","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithRestriction","Must get a CPF with restriction",""
"passed","Mon Jun 27 12:52:44 GMT 2022","Mon Jun 27 12:52:45 GMT 2022","863","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidEmail","Must try create a new simulation with invalid email.",""
"passed","Mon Jun 27 12:52:33 GMT 2022","Mon Jun 27 12:52:37 GMT 2022","3734","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationNotFound","Should validate the simulation schema for non-existing simulation",""
"passed","Mon Jun 27 12:52:42 GMT 2022","Mon Jun 27 12:52:44 GMT 2022","1679","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationSuccessfully","Must update an existing simulation",""
