"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 21:37:26 GMT 2022","Sun Jun 26 21:37:29 GMT 2022","2357","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationSuccessfully","Must delete an existing simulation and validate exclusion",""
"passed","Sun Jun 26 21:37:21 GMT 2022","Sun Jun 26 21:37:22 GMT 2022","990","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidEmail","Must try create a new simulation with invalid email.",""
"passed","Sun Jun 26 21:37:29 GMT 2022","Sun Jun 26 21:37:31 GMT 2022","1805","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnAllExistingSimulations","Must validate all existing simulations",""
"passed","Sun Jun 26 21:37:34 GMT 2022","Sun Jun 26 21:37:35 GMT 2022","676","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithNoRestriction","Must get a CPF without restriction",""
"passed","Sun Jun 26 21:37:31 GMT 2022","Sun Jun 26 21:37:33 GMT 2022","1528","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationInvalidData","Must update an existing simulation with all invalid data",""
"broken","Sun Jun 26 21:29:51 GMT 2022","Sun Jun 26 21:31:26 GMT 2022","94667","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationNotFound","Should validate the simulation schema for non-existing simulation",""
"broken","Sun Jun 26 17:14:32 GMT 2022","Sun Jun 26 17:14:32 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","","SimulationsFunctionalTest",""
"skipped","Sun Jun 26 21:37:22 GMT 2022","Sun Jun 26 21:37:22 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinValue","Must try create a new simulation with invalid min value.",""
"broken","Sun Jun 26 17:14:31 GMT 2022","Sun Jun 26 17:14:31 GMT 2022","3","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","","RestrictionsContractTest",""
"passed","Sun Jun 26 21:37:33 GMT 2022","Sun Jun 26 21:37:34 GMT 2022","783","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithRestriction","Must get a CPF with restriction",""
"skipped","Sun Jun 26 21:35:34 GMT 2022","Sun Jun 26 21:35:34 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxInstallments","Must try create a new simulation with invalid max number of installments.",""
"failed","Sun Jun 26 21:35:28 GMT 2022","Sun Jun 26 21:35:34 GMT 2022","6332","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","getOneSimulation","Should validate the simulation schema for GET method",""
"skipped","Sun Jun 26 21:37:31 GMT 2022","Sun Jun 26 21:37:31 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidName","Must try create a new simulation with invalid name.",""
"passed","Sun Jun 26 21:37:34 GMT 2022","Sun Jun 26 21:37:34 GMT 2022","683","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfIncomplete","Must get a CPF incomplete",""
"broken","Sun Jun 26 21:31:26 GMT 2022","Sun Jun 26 21:35:28 GMT 2022","241221","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationWithMissingInformation","Should validate the simulation schema for missing information",""
"passed","Sun Jun 26 21:37:19 GMT 2022","Sun Jun 26 21:37:21 GMT 2022","2011","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationSuccessfully","Must update an existing simulation",""
"passed","Sun Jun 26 21:37:25 GMT 2022","Sun Jun 26 21:37:26 GMT 2022","746","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationSuccessfully","Must create a new simulation.",""
"passed","Sun Jun 26 21:37:26 GMT 2022","Sun Jun 26 21:37:26 GMT 2022","749","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinInstallments","Must try create a new simulation with invalid min number of installments.",""
"passed","Sun Jun 26 21:37:22 GMT 2022","Sun Jun 26 21:37:25 GMT 2022","2556","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnOneExistingSimulation","Must validate one existing simulation",""
"skipped","Sun Jun 26 21:37:19 GMT 2022","Sun Jun 26 21:37:19 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithDuplicatedCpf","Must validate an CPF duplication",""
"skipped","Sun Jun 26 21:37:19 GMT 2022","Sun Jun 26 21:37:19 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByName","Must find a simulation filtered by name",""
"passed","Sun Jun 26 21:37:29 GMT 2022","Sun Jun 26 21:37:29 GMT 2022","712","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxValue","Must try create a new simulation with invalid max value.",""
